harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
750000,Balikpapan Utara,200.0,144,SHM,Unfurnished,3,3,3500,2
900000,Balikpapan Utara,98.0,250,HGB,Unfurnished,3,2,2200,1
850000,Balikpapan Utara,64.0,184,SHM,Unfurnished,2,2,1300,1
2600000,Balikpapan Utara,150.0,528,SHM,Unfurnished,3,2,1300,1
1000000,Balikpapan Utara,86.0,208,SHM,Unfurnished,2,1,2200,1
560000,Balikpapan Utara,130.0,234,SHM,Unfurnished,3,2,900,1
975000,Balikpapan Utara,160.0,396,SHM,Unfurnished,4,2,900,1
2800000,Balikpapan Utara,201.0,401,SHM,Unfurnished,5,4,2200,1
2700000,Balikpapan Utara,200.0,144,SHM,Unfurnished,2,2,2200,2
695000,Balikpapan Utara,105.0,115,SHM,Unfurnished,2,1,2200,1
1800000,Balikpapan Utara,243.0,268,SHM,Unfurnished,6,3,2200,1
1200000,Balikpapan Utara,47.0,60,SHM,Unfurnished,2,2,1300,1
1250000,Balikpapan Utara,47.0,60,SHM,Unfurnished,2,2,1300,1
800000,Balikpapan Utara,108.0,450,SHM,Furnished,3,3,1300,1
4500000,Balikpapan Utara,190.0,220,SHM,Unfurnished,4,3,2200,1
1350000,Balikpapan Utara,72.0,72,SHM,Unfurnished,3,2,1300,1
2500000,Balikpapan Utara,250.0,307,SHM,Unfurnished,4,2,2200,1
750000,Balikpapan Utara,80.0,150,SHM,Unfurnished,3,1,900,1
405000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
4250000,Balikpapan Utara,350.0,770,SHM,Unfurnished,5,6,4400,1
3100000,Balikpapan Utara,200.0,922,SHM,Unfurnished,5,4,2200,1
950000,Balikpapan Utara,90.0,174,SHM,Unfurnished,3,2,1300,1
1650000,Balikpapan Utara,100.0,260,SHM,Unfurnished,3,1,2200,1
825000,Balikpapan Utara,80.0,113,SHM,Unfurnished,2,1,2200,1
760000,Balikpapan Utara,205.0,149,SHM,Unfurnished,3,2,2200,2
1050000,Balikpapan Utara,90.0,236,SHM,Unfurnished,3,2,2200,1
1400000,Balikpapan Utara,162.0,231,SHM,Unfurnished,6,4,2200,1
250000,Balikpapan Utara,36.0,180,HGB,Unfurnished,1,1,900,1
950000,Balikpapan Utara,120.0,160,SHM,Unfurnished,3,2,1300,1
350000,Balikpapan Utara,40.0,90,SHM,Unfurnished,2,1,1300,1
3590000,Balikpapan Utara,230.0,298,SHM,Unfurnished,5,4,3500,1
2850000,Balikpapan Utara,400.0,401,SHM,Unfurnished,5,3,4400,1
1200000,Balikpapan Utara,47.0,78,SHM,Unfurnished,2,2,1300,1
450000,Balikpapan Utara,66.0,87,HGB,Unfurnished,2,2,1300,1
760000,Balikpapan Utara,100.0,120,SHM,Unfurnished,3,1,1300,1
949000,Balikpapan Utara,172.0,380,HGB,Furnished,3,1,4400,1
825000,Balikpapan Utara,80.0,120,SHM,Unfurnished,3,2,2200,1
1750000,Balikpapan Utara,88.0,98,SHM,Unfurnished,3,3,1300,1
440000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
415000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
950000,Balikpapan Utara,280.0,140,SHM,Unfurnished,4,2,1300,2
680000,Balikpapan Utara,70.0,163,HGB,Semi-furnished,2,1,2200,1
2500000,Balikpapan Utara,350.0,381,HGB,Unfurnished,2,1,2200,1
3600000,Balikpapan Utara,191.0,220,HGB,Furnished,3,3,4400,1
2500000,Balikpapan Utara,200.0,400,SHM,Unfurnished,4,2,2200,1
1250000,Balikpapan Utara,148.0,90,SHM,Unfurnished,4,2,3500,2
3000000,Balikpapan Utara,300.0,954,SHM,Furnished,4,2,2200,1
2120000,Balikpapan Utara,146.0,190,HGB,Unfurnished,4,4,2200,1
1280000,Balikpapan Utara,120.0,155,HGB,Unfurnished,3,3,2200,1
1800000,Balikpapan Utara,88.0,105,HGB,Unfurnished,3,3,2200,1
2300000,Balikpapan Utara,117.0,128,HGB,Unfurnished,3,4,2200,1
3500000,Balikpapan Utara,172.0,200,HGB,Unfurnished,5,5,2200,1
725000,Balikpapan Utara,45.0,84,HGB,Unfurnished,2,1,2200,1
600000,Balikpapan Utara,100.0,156,SHM,Unfurnished,2,1,2200,1
775000,Balikpapan Utara,65.0,72,HGB,Unfurnished,3,2,2200,1
1750000,Balikpapan Utara,79.0,126,SHM,Unfurnished,3,2,2200,1
550000,Balikpapan Utara,45.0,91,HGB,Unfurnished,2,1,1300,1
700000,Balikpapan Utara,80.0,91,HGB,Unfurnished,3,2,2200,1
1800000,Balikpapan Utara,180.0,91,HGB,Unfurnished,4,3,4400,2
925000,Balikpapan Utara,77.0,80,SHM,Unfurnished,3,2,2200,1
1950000,Balikpapan Utara,135.0,235,SHM,Unfurnished,2,2,6600,1
3300000,Balikpapan Utara,360.0,250,SHM,Unfurnished,4,4,2200,2
800000,Balikpapan Utara,90.0,165,SHM,Unfurnished,3,2,1300,1
12000000,Balikpapan Utara,500.0,1270,SHM,Unfurnished,6,5,2200,1
700000,Balikpapan Utara,120.0,120,SHM,Unfurnished,2,2,1300,1
750000,Balikpapan Utara,70.0,125,SHM,Unfurnished,2,2,1300,1
485000,Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1
1500000,Balikpapan Utara,47.0,72,SHM,Unfurnished,2,1,2200,1
600000,Balikpapan Utara,70.0,90,SHM,Furnished,2,1,1300,1
850000,Balikpapan Utara,100.0,150,SHM,Unfurnished,3,2,1300,1
1800000,Balikpapan Utara,150.0,256,SHM,Unfurnished,3,3,2200,1
1880000,Balikpapan Utara,139.0,206,SHM,Unfurnished,4,2,3500,1
950000,Balikpapan Utara,110.0,120,SHM,Unfurnished,2,2,2200,1
1800000,Balikpapan Utara,308.0,300,SHM,Unfurnished,5,4,4400,2
1000000,Balikpapan Utara,100.0,162,SHM,Unfurnished,4,2,2200,1
950000,Balikpapan Utara,150.0,210,HGB,Unfurnished,4,2,2200,1
1250000,Balikpapan Utara,98.0,210,SHM,Unfurnished,3,2,900,1
2800000,Balikpapan Utara,225.0,311,SHM,Unfurnished,3,2,3500,1
1650000,Balikpapan Utara,246.0,250,SHM,Unfurnished,6,2,2200,1
975000,Balikpapan Utara,47.0,60,SHM,Unfurnished,2,2,2200,1
1250000,Balikpapan Utara,47.0,60,SHM,Unfurnished,2,2,2200,1
3950000,Balikpapan Utara,200.0,180,SHM,Unfurnished,3,3,5500,2
3950000,Balikpapan Utara,200.0,180,SHM,Semi-furnished,3,3,5500,2
850000,Balikpapan Utara,60.0,90,SHM,Semi-furnished,2,2,2200,1
3500000,Balikpapan Utara,319.0,319,SHM,Unfurnished,4,5,4400,1
450000,Balikpapan Utara,45.0,120,HGB,Unfurnished,2,1,1300,1
450000,Balikpapan Utara,45.0,120,HGB,Semi-furnished,2,1,1300,1
1200000,Balikpapan Utara,125.0,120,SHM,Unfurnished,3,2,2200,2
470000,Balikpapan Utara,36.0,84,SHM,Unfurnished,2,1,1300,1
2000000,Balikpapan Utara,270.0,210,SHM,Unfurnished,6,3,2200,2
2200000,Balikpapan Utara,300.0,200,SHM,Semi-furnished,3,2,2200,2
1700000,Balikpapan Utara,141.0,160,SHM,Unfurnished,3,2,2200,1
1000000,Balikpapan Utara,190.0,210,SHM,Unfurnished,3,2,2200,1
1690000,Balikpapan Utara,100.0,120,SHM,Unfurnished,3,3,2200,1
1200000,Balikpapan Utara,56.0,112,SHM,Unfurnished,2,2,2200,1
620000,Balikpapan Utara,60.0,165,SHM,Unfurnished,2,1,1300,1
1800000,Balikpapan Utara,200.0,200,SHM,Unfurnished,3,2,2200,1
440000,Balikpapan Utara,45.0,120,SHM,Unfurnished,2,1,1300,1
1550000,Balikpapan Utara,160.0,186,SHM,Unfurnished,4,3,2200,1
1500000,Balikpapan Utara,85.0,136,SHM,Furnished,3,1,1300,1
