harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
4050000,  Balikpapan Tengah,200.0,300,SHM,Semi-furnished,3,3,3500
1850000,  Balikpapan Tengah,154.0,171,SHM,Unfurnished,4,2,1300
700000,  Balikpapan Selatan,100.0,105,SHM,Unfurnished,2,2,1300
2000000,  Balikpapan Tengah,124.0,151,SHM,Unfurnished,3,3,2200
4000000,  Balikpapan Tengah,250.0,330,SHM,Unfurnished,3,2,6600
1150000,  Balikpapan Selatan,145.0,120,SHM,Furnished,4,2,3500
2600000,  Balikpapan Selatan,220.0,374,SHM,Unfurnished,3,2,6600
2800000,  Balikpapan Utara,225.0,311,SHM,Unfurnished,3,2,3500
3750000,  Gn. Samarinda,319.0,319,SHM,Unfurnished,4,5,4400
1450000,  Gn. Samarinda,200.0,211,SHM,Unfurnished,3,2,2200
1500000,  Balikpapan Tengah,96.0,200,SHM,Unfurnished,3,1,1300
1900000,  Balikpapan Timur,68.0,256,SHM,Unfurnished,3,2,2200
500000,  Sepinggan,40.0,100,SHM,Unfurnished,2,1,2200
570000,  Sepinggan,100.0,100,SHM,Unfurnished,3,2,1300
925000,  Balikpapan Selatan,56.0,135,SHM,Unfurnished,2,2,2200
1680000,  Balikpapan Selatan,175.0,91,SHM,Unfurnished,3,3,3500
2200000,  Balikpapan Selatan,104.0,150,SHM,Furnished,3,2,3500
7700000,  Balikpapan Baru,176.0,648,SHM,Unfurnished,4,2,2200
495000,  Balikpapan Utara,56.0,105,SHM,Unfurnished,3,1,1300
9500000,  Balikpapan Tengah,536.0,1195,SHM,Semi-furnished,5,3,23000
4000000,  Balikpapan Selatan,300.0,214,SHM,Semi-furnished,4,3,3500
1300000,  Balikpapan Selatan,196.0,98,SHM,Unfurnished,5,3,2200
1500000,  Balikpapan Selatan,111.0,157,SHM,Semi-furnished,3,2,4400
3210000,  Balikpapan Utara,250.0,200,SHM,Unfurnished,4,2,3500
