Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
3800000000," Samarinda, Samarinda Kota",Rumah,,385.0,391.0,SHM,
980000000," Samarinda, Samarinda Seberang",Rumah,,150.0,150.0,SHM,
6000000000," Samarinda, Samarinda Seberang",Rumah,,518.0,518.0,SHM,
490000000," Samarinda, Sungai Kunjang",Rumah,Secondary,45.0,91.0,SHM,Non-furnished
400000000," Samarinda, Samarinda Utara",Rumah,Secondary,38.0,75.0,SHM,
3560000000," Samarinda, Samarinda Utara",Rumah,Secondary,197.0,225.0,SHM,Non-furnished
1100000000," Samarinda, Samarinda Kota",Rumah,,128.0,128.0,SHM,
875000000," Samarinda, Samarinda Kota",Rumah,Secondary,98.0,98.0,SHM,Non-furnished
2300000000," Samarinda, Samarinda Kota",Rumah,,20.0,20.0,SHM,
2700000000," Samarinda, Samarinda Seberang",Rumah,,15.0,10.0,SHM,
2300000000," Samarinda, Samarinda Kota",Rumah,,250.0,163.0,SHM,
1750000000," Samarinda, Samarinda Seberang",Rumah,,250.0,258.0,SHM,
2100000000," Samarinda, Sungai Kunjang",Rumah,Secondary,200.0,205.0,SHM,Non-furnished
750000000," Samarinda, Samarinda Seberang",Rumah,Secondary,228.0,228.0,SHM,Semi-furnished
1250000000," Samarinda, Sungai Pinang",Rumah,Secondary,120.0,144.0,SHM,Non-furnished
958110000," Samarinda, Samarinda Seberang",Rumah,,57.0,120.0,HGB,
1650000000," Samarinda, Sungai Pinang",Rumah,,120.0,105.0,SHM,
2080000000," Samarinda, Sungai Pinang",Rumah,Primary,93.0,140.0,SHM,Non-furnished
2200000000," Samarinda, Sungai Pinang",Rumah,Secondary,180.0,200.0,SHM,Non-furnished
1570000000," Samarinda, Loa Janan Ilir",Rumah,Primary,110.0,215.0,HGB,Non-furnished
800000000," Samarinda, Sambutan",Rumah,,63.0,200.0,Lain-lain,
1200000000," Samarinda, Samarinda Ulu",Rumah,,200.0,200.0,SHM,
750000000," Samarinda, Sungai Kunjang",Rumah,Secondary,38.0,90.0,HGB,Non-furnished
1045000000," Samarinda, Sungai Pinang",Rumah,Secondary,100.0,119.0,HGB,
400000000," Samarinda, Samarinda Kunjang",Rumah,,50.0,100.0,SHM,
2400000000," Samarinda, Samarinda Kota",Rumah,Secondary,225.0,300.0,SHM,Semi-furnished
6000000000," Samarinda, Samarinda Ilir",Rumah,Secondary,542.0,542.0,SHM,
3000000000," Samarinda, Sungai Pinang",Rumah,Secondary,100.0,144.0,SHM,
3800000000," Samarinda, Samarinda Kota",Rumah,Secondary,200.0,265.0,SHM,Semi-furnished
550000000," Samarinda, Sungai Kunjang",Rumah,Secondary,70.0,102.0,SHM,Non-furnished
1100000000," Samarinda, Samarinda Ulu",Rumah,,102.0,157.0,SHM,
7000000000," Samarinda, Samarinda Ulu",Rumah,,60.0,75.0,SHM,
820000000," Samarinda, Samarinda Ilir",Rumah,Secondary,144.0,120.0,SHM,
4900000000," Samarinda, Samarinda Utara",Rumah,Secondary,375.0,300.0,SHM,
1110000000," Samarinda, Sungai Pinang",Rumah,,59.0,105.0,SHM,
1570000000," Samarinda, Sungai Pinang",Rumah,,59.0,207.0,SHM,
1650000000," Samarinda, Sungai Pinang",Rumah,,122.0,128.0,SHM,
1540000000," Samarinda, Sungai Pinang",Rumah,,45.0,140.0,HGB,
560000000," Samarinda, Loa Janan Ilir",Rumah,,39.0,72.0,HGB,
1120000000," Samarinda, Sungai Pinang",Rumah,,45.0,126.0,HGB,
921000000," Samarinda, Sungai Pinang",Rumah,,34.0,96.0,HGB,
1060000000," Samarinda, Samarinda Ulu",Rumah,,45.0,108.0,HGB,
697000000," Samarinda, Loa Janan Ilir",Rumah,,45.0,105.0,HGB,
750000000," Samarinda, Loa Janan Ilir",Rumah,,45.0,119.0,HGB,
958000000," Samarinda, Loa Janan Ilir",Rumah,,57.0,120.0,HGB,
1210000000," Samarinda, Loa Janan Ilir",Rumah,,57.0,160.0,HGB,
3800000000," Samarinda, Samarinda Ulu",Rumah,,105.5,317.0,SHM,
1200000000," Samarinda, Sungai Pinang",Rumah,,256.0,400.0,Lain-lain,
450000000," Samarinda, Samarinda Utara",Rumah,,72.0,187.0,SHM,
551940000," Samarinda, Loa Janan Ilir",Rumah,,36.0,90.0,HGB,
581090000," Samarinda, Loa Janan Ilir",Rumah,,36.0,102.0,HGB,
704350000," Samarinda, Loa Janan Ilir",Rumah,,38.0,108.0,HGB,
739350000," Samarinda, Sungai Pinang",Rumah,Primary,55.0,72.0,SHM,
1160000000," Samarinda, Sungai Pinang",Rumah,,55.0,107.0,SHM,
1010000000," Samarinda, Sungai Pinang",Rumah,,45.0,126.0,SHM,
1170000000," Samarinda, Sungai Pinang",Rumah,,45.0,162.0,SHM,
1320000000," Samarinda, Sungai Pinang",Rumah,,45.0,199.0,SHM,
1640000000," Samarinda, Sungai Pinang",Rumah,,45.0,278.0,SHM,
840000000," Samarinda, Sungai Pinang",Rumah,,34.0,96.0,SHM,
1200000000," Samarinda, Sungai Pinang",Rumah,,34.0,185.0,SHM,
1060000000," Samarinda, Sungai Pinang",Rumah,,34.0,150.0,SHM,
1300000000," Samarinda, Sungai Pinang",Rumah,,59.0,119.0,SHM,
1200000000," Samarinda, Sungai Pinang",Rumah,,59.0,95.0,SHM,
2000000000," Samarinda, Sungai Pinang",Rumah,Secondary,160.0,105.0,HGB,Semi-furnished
650000000," Samarinda, Samarinda Ulu",Rumah,,60.0,90.0,SHM,
1400000000," Samarinda, Samarinda Utara",Rumah,,190.0,75.0,SHM,
1900000000," Samarinda, Sungai Pinang",Rumah,,96.0,126.0,HGB,
2760000000," Samarinda, Sungai Pinang",Rumah,,96.0,147.0,HGB,
3700000000," Samarinda, Samarinda Kota",Rumah,,245.0,480.0,SHM,
500000000," Samarinda, Sungai Kunjang",Rumah,,75.0,120.0,HGB,
1300000000," Samarinda, Samarinda Ulu",Rumah,Secondary,140.0,75.0,SHM,Semi-furnished
900000000," Samarinda, Samarinda Utara",Rumah,,72.0,120.0,SHM,
1900000000," Samarinda, Samarinda Ulu",Rumah,Secondary,75.0,131.0,SHM,
10000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,220.0,706.0,SHM,
548000000," Samarinda, Samarinda Seberang",Rumah,Primary,27.0,84.0,HGB,
700000000," Samarinda, Sungai Pinang",Rumah,Secondary,200.0,200.0,SHM,Semi-furnished
1200000000," Samarinda, Samarinda Seberang",Rumah,Primary,87.0,120.0,HGB,
964000000," Samarinda, Samarinda Seberang",Rumah,Primary,54.0,120.0,HGB,
2080000000," Samarinda, Sungai Pinang",Rumah,Primary,93.0,140.0,HGB,Non-furnished
725000000," Samarinda, Sungai Pinang",Rumah,Secondary,80.0,120.0,SHM,Non-furnished
1990000000," Samarinda, Sungai Pinang",Rumah,Primary,96.0,126.0,SHM,
525000000," Samarinda, Samarinda Utara",Rumah,Secondary,36.0,119.0,SHM,
3000000000," Samarinda, Samarinda Ilir",Rumah,Secondary,170.0,178.0,SHM,
5080000000," Samarinda, Samarinda Utara",Rumah,,201.0,382.0,HGB,
1890000000," Samarinda, Samarinda Utara",Rumah,,93.0,140.0,HGB,
1300000000," Samarinda, Samarinda Kota",Rumah,,170.0,267.0,SHM,
621040000," Samarinda, Loa Janan Ilir",Rumah,,45.0,105.0,PPJB,
853670000," Samarinda, Loa Janan Ilir",Rumah,,57.0,120.0,PPJB,
3000000000," Samarinda, Sungai Pinang",Rumah,,271.0,271.0,SHM,
2800000000," Samarinda, Sungai Pinang",Rumah,,112.0,256.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,,210.0,163.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,,160.0,200.0,SHM,
2500000000," Samarinda, Sungai Pinang",Rumah,,229.0,200.0,SHM,
548000000," Samarinda, Loa Janan Ilir",Rumah,Primary,27.0,84.0,HGB,
1670000000," Samarinda, Loa Janan Ilir",Rumah,Primary,110.0,215.0,HGB,
1015000000," Samarinda, Samarinda Seberang",Rumah,Secondary,66.0,108.0,HGB,Non-furnished
1100000000," Samarinda, Samarinda Kota",Rumah,,100.0,167.0,SHM,
8000000000," Samarinda, Loa Janan Ilir",Rumah,,700.0,1745.0,Lain-lain,
2500000000," Samarinda, Sungai Pinang",Rumah,,150.0,200.0,SHM,
2500000000," Samarinda, Samarinda Ulu",Rumah,Secondary,250.0,163.0,SHM,Fully-furnished
1400000000," Samarinda, Samarinda Ulu",Rumah,Primary,69.0,103.0,HGB,Non-furnished
638000000," Samarinda, Samarinda Seberang",Rumah,Secondary,90.0,120.0,SHM,
8000000000," Samarinda, Samarinda Utara",Rumah,Secondary,270.0,225.0,SHM,
400000000," Samarinda, Samarinda Ulu",Rumah,,105.0,117.0,HGB,
420000000," Samarinda, Samarinda Utara",Rumah,,54.0,81.0,SHM,
2590000000," Samarinda, Samarinda Utara",Rumah,Secondary,300.0,180.0,SHM,Semi-furnished
1550000000," Samarinda, Samarinda Ulu",Rumah,,208.0,208.0,SHM,
850000000," Samarinda, Samarinda Utara",Rumah,,70.0,124.0,SHM,
2950000000," Samarinda, Samarinda Ulu",Rumah,,200.0,200.0,SHM,
1900000000," Samarinda, Sungai Pinang",Rumah,,96.0,126.0,HGB,
900000000," Samarinda, Samarinda Utara",Rumah,,120.0,277.0,SHM,
525000000," Samarinda, Samarinda Seberang",Rumah,Secondary,36.0,72.0,SHM,Non-furnished
50000001," Samarinda, Sungai Pinang",Rumah,Secondary,100.0,120.0,SHM,
650000000," Samarinda, Loa Janan Ilir",Rumah,,81.0,81.0,SHM,
1800000000," Samarinda, Samarinda Ulu",Rumah,Secondary,150.0,280.0,SHM,Fully-furnished
1900000000," Samarinda, Samarinda Ulu",Rumah,Secondary,334.0,370.0,SHM,Non-furnished
1100000000," Samarinda, Samarinda Ulu",Rumah,Secondary,150.0,180.0,SHM,
1100000000," Samarinda, Sungai Kunjang",Rumah,Secondary,80.0,240.0,Lain-lain,Non-furnished
786500000," Samarinda, Samarinda Ulu",Rumah,Primary,60.0,80.0,SHM,Non-furnished
1620000000," Samarinda, Samarinda Utara",Rumah,Primary,84.0,105.0,HGB,Non-furnished
1990000000," Samarinda, Samarinda Utara",Rumah,Primary,96.0,126.0,HGB,
1000000000," Samarinda, Samarinda Ulu",Rumah,Primary,38.0,98.0,HGB,Non-furnished
2700000000," Samarinda, Samarinda Ulu",Rumah,Primary,144.0,128.0,HGB,
950000000," Samarinda, Samarinda Utara",Rumah,Secondary,54.0,300.0,SHM,
816000000," Samarinda, Loa Janan Ilir",Rumah,Primary,48.0,105.0,HGB,
3000000000," Samarinda, Sungai Kunjang",Rumah,,230.0,240.0,SHM,
12000000000," Samarinda, Sungai Pinang",Rumah,,253.0,450.0,SHM,
2500000000," Samarinda, Samarinda Kota",Rumah,Secondary,234.0,336.0,SHM,
1200000000," Samarinda, Sungai Pinang",Rumah,,45.0,84.0,HGB,
950000000," Samarinda, Samarinda Utara",Rumah,,128.0,154.0,SHM,
1300000000," Samarinda, Samarinda Ulu",Rumah,,60.0,200.0,SHM,
4900000000," Samarinda, Samarinda Kota",Rumah,Secondary,460.0,300.0,SHM,
2500000000," Samarinda, Palaran",Rumah,Secondary,100.0,1596.0,SHM,
750000000," Samarinda, Samarinda Seberang",Rumah,,112.0,115.0,SHM,
600000000," Samarinda, Samarinda Utara",Rumah,Secondary,36.0,259.0,SHM,
1150000000," Samarinda, Samarinda Kota",Rumah,,90.0,133.0,SHM,
3240000000," Samarinda, Samarinda Utara",Rumah,,197.0,225.0,HGB,
