harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,210 m2,Lain-lain,-,9,9,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",45 m2,100 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",150 m2,105 m2,SHM,-,3,2,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",286 m2,300 m2,SHM,-,2,2,N/A,1300 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",250 m2,300 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",150 m2,200 m2,SHM,-,2,1,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",250 m2,300 m2,SHM,-,3,2,N/A,1300 Watt
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Sungai Kunjang",180 m2,250 m2,SHM,-,4,2,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",250 m2,350 m2,SHM,-,3,2,N/A,1300 Watt
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",20 m2,106 m2,SHM,Non-furnished,1,1,N/A,2200 Watt
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",310 m2,440 m2,SHM,-,3,4,N/A,3500 Watt
"Rp 3,2 Miliar Rp 130 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",250 m2,276 m2,SHM,-,4,4,N/A,4400 Watt
"Rp 7,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",276 m2,506 m2,SHM,-,8,5,N/A,3500 Watt
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",374 m2,165 m2,SHM,-,3,2,N/A,5500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",250 m2,163 m2,SHM,Fully-furnished,4,4,N/A,4400 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",160 m2,98 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
Rp 2 Miliar Rp 75 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",170 m2,126 m2,SHM,-,4,3,N/A,3500 Watt
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",300 m2,150 m2,SHM,Fully-furnished, 4,3,N/A,2200 Watt
"Rp 5,7 Miliar Rp 175 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",400 m2,365 m2,SHM,-,5,3,N/A,3500 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",84 m2,126 m2,SHM,-,3,1,N/A,1300 Watt
Rp 525 Juta,"Kalimantan Timur, Samarinda, Sambutan",110 m2,110 m2,SHM,-,2,1,N/A,900 Watt
Rp 400 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",144 m2,168 m2,SHM,-,4,1,N/A,900 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 448 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",46 m2,102 m2,SHM,-,3,2,N/A,1300 Watt
Rp 448 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",46 m2,102 m2,SHM,-,3,2,N/A,1300 Watt
Rp 570 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,38 m2,SHM,Semi-furnished,2,1,N/A,2200 Watt
Rp 925 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",98 m2,98 m2,SHM,-,3,2,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",150 m2,207 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 6,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",200 m2,312 m2,SHM,-,7,3,N/A,2200 Watt
"Rp 1,01 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",45 m2,126 m2,HGB,-,2,1,N/A,2200 Watt
"Rp 1,06 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",34 m2,150 m2,HGB,-,2,1,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",96 m2,144 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",300 m2,309 m2,Lain-lain,-,4,2,N/A,2200 Watt
Rp 550 Juta,"Kalimantan Timur, Samarinda, Sambutan",120 m2,120 m2,SHM,-,3,3,N/A,1300 Watt
Rp 525 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",96 m2,96 m2,Lain-lain,-,02,02,N/A,1300 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",120 m2,200 m2,SHM,-,2,1,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Sambutan",54 m2,144 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",100 m2,300 m2,SHM,Non-furnished,3,3,N/A,3500 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",84 m2,105 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",176 m2,144 m2,HGB,-,3+1,2+1,N/A,2200 Watt
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",350 m2,408 m2,SHM,-,5,1,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",270 m2,300 m2,SHM,-,5,2,N/A,2200 Watt
"Rp 8,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",403 m2,873 m2,SHM,-,3+1,3+1,N/A,5500 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",168 m2,105 m2,SHM,Semi-furnished,3,2,N/A,6600 Watt
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",200 m2,298 m2,SHM,-,5,3,N/A,2200 Watt
"Rp 2,15 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",125 m2,180 m2,SHM,-,3,3,N/A,3500 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",200 m2,100 m2,SHM,Non-furnished,1,2,N/A,2200 Watt
Rp 2 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",60 m2,131 m2,SHM,-,2,2,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",90 m2,135 m2,SHM,-,3,1,N/A,1300 Watt
Rp 625 Juta,"Kalimantan Timur, Samarinda, Sambutan",65 m2,135 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 1,65 Miliar Rp 45 Juta","Kalimantan Timur, Samarinda, Palaran",160 m2,120 m2,HGB,-,3,2,N/A,2200 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",150 m2,200 m2,SHM,-,3,3,N/A,3500 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",176 m2,280 m2,SHM,-,4,3,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",200 m2,234 m2,SHM,-,4,3,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",50 m2,105 m2,SHM,-,2,2,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",75 m2,110 m2,SHM,-,2,2-,N/A,1300 Watt
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",100 m2,167 m2,SHM,Semi-furnished,2+1,4,N/A,3500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",120 m2,105 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 5,3 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",216 m2,480 m2,SHM,-,3+2,4+1,N/A,2200 Watt
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",380 m2,469 m2,SHM,-,4+1,5+1,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",260 m2,303 m2,SHM,-,4,2,N/A,1300 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",330 m2,240 m2,SHM,-,3,3,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",90 m2,162 m2,SHM,-,3,2,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",80 m2,126 m2,HGB,-,2,1,N/A,1300 Watt
"
Rp 1,15 Miliar
","Kalimantan Timur, Samarinda, Sungai Kunjang",160 m2,183 m2,SHM,-,2,1,N/A,2200 Watt
Rp 720 Juta Rp 35 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",70 m2,78 m2,HGB,-,3,2,N/A,1300 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Samarinda, Samarinda Kunjang",250 m2,350 m2,SHM,Non-furnished,3+1,2,N/A,2200 Watt
