Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
Rp 580 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,130 m2,130 m2,SHM,Non-furnished
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Sepinggan",Rumah,Secondary,140 m2,98 m2,SHM,Non-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,95 m2,173 m2,SHM,Semi-furnished
Rp 395 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,54 m2,116 m2,SHM,-
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,400 m2,235 m2,SHM,-
"Rp 2,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,225 m2,165 m2,SHM,-
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,144 m2,600 m2,HGB,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,150 m2,221 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,160 m2,169 m2,SHM,-
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Batu Ampar",Rumah,Secondary,100 m2,179 m2,SHM,Semi-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Primary,65 m2,90 m2,SHM,Non-furnished
"Rp 1,32 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,196 m2,98 m2,SHM,Non-furnished
"
Rp 1,15 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,190 m2,136 m2,SHM,Semi-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,157 m2,SHM,Fully-furnished
Rp 6 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,563 m2,713 m2,SHM,Non-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,115 m2,225 m2,SHM,-
"Rp 3,59 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,230 m2,298 m2,SHM,-
"Rp 1,7 Miliar Rp 70 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,135 m2,150 m2,SHM,-
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,81 m2,125 m2,SHM,-
