harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 3,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",240 m2,260 m2,SHM,-,5,4,N/A,2200 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",150 m2,200 m2,SHM,-,2+1,1,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",250 m2,150 m2,SHM,-,5,4,N/A,2200 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,120 m2,SHM,-,4,3,N/A,2200 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,150 m2,SHM,-,3,2,N/A,2200 Watt
Rp 380 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",102 m2,102 m2,SHM,-,2,2,N/A,1300 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",316 m2,241 m2,SHM,-,4,5,N/A,3500 Watt
Rp 580 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",130 m2,130 m2,SHM,Non-furnished,4,1,N/A,2200 Watt
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Sepinggan",140 m2,98 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",95 m2,173 m2,SHM,Semi-furnished,4,2,N/A,1300 Watt
Rp 395 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",54 m2,116 m2,SHM,-,3,1,N/A,1300 Watt
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Timur",400 m2,235 m2,SHM,-,4,4,N/A,5500 Watt
"Rp 2,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",225 m2,165 m2,SHM,-,3,2,N/A,3500 Watt
"
Rp 1,25 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Utara",144 m2,600 m2,HGB,Non-furnished,3,2,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,221 m2,SHM,-,3,2,N/A,3500 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",160 m2,169 m2,SHM,-,4,3,N/A,4400 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Batu Ampar",100 m2,179 m2,SHM,Semi-furnished,3,2,N/A,3500 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",65 m2,90 m2,SHM,Non-furnished,3,3,N/A,1300 Watt
"Rp 1,32 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",196 m2,98 m2,SHM,Non-furnished,5,3,N/A,2200 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",190 m2,136 m2,SHM,Semi-furnished,3,2,N/A,1300 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",110 m2,157 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 6 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",563 m2,713 m2,SHM,Non-furnished,18,18,N/A,3500 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Timur",115 m2,225 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 3,59 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",230 m2,298 m2,SHM,-,5+1,4,N/A,3500 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",274 m2,137 m2,SHM,-,5,3,N/A,3500 Watt
"Rp 1,7 Miliar Rp 70 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",135 m2,150 m2,SHM,-,3+1,2+1,N/A,3500 Watt
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",81 m2,125 m2,SHM,-,4,2,N/A,2200 Watt
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,153 m2,HGB,-,3+1,3+1,N/A,1300 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",250 m2,240 m2,SHM,-,5,4,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,120 m2,SHM,-,3+1,2+1,N/A,3500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Lamaru",400 m2,700 m2,SHM,-,4,2,N/A,5500 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",140 m2,150 m2,SHM,Non-furnished,4,4,N/A,1300 Watt
"Rp 4,1 Miliar","Kalimantan Timur, Balikpapan, Telaga Sari",357 m2,444 m2,SHM,Non-furnished,8,4,N/A,6600 Watt
"Rp 1,38 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,105 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,72 m2,SHM,-,3,1,N/A,4400 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,150 m2,SHM,-,3,2,N/A,1300 Watt
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",1134 m2,900 m2,SHM,-,5,5,N/A,3500 Watt
Rp 7 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",800 m2,960 m2,SHM,-,6,5,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 14 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",500 m2,1240 m2,SHM,Non-furnished,6,6,N/A,6600 Watt
"Rp 1,24 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",145 m2,120 m2,SHM,Semi-furnished,4,2,N/A,3500 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",300 m2,220 m2,HGB,Non-furnished,4,2,N/A,2200 Watt
"Rp 3,9 Miliar","Kalimantan Timur, Balikpapan, Sepinggan",500 m2,450 m2,SHM,-,7,4,N/A,4400 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Manggar",300 m2,400 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",298 m2,200 m2,SHM,Semi-furnished,5+2,4+1,N/A,5500 Watt
Rp 880 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,108 m2,SHM,Semi-furnished,3,1,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",207 m2,144 m2,SHM,Semi-furnished,5,3,N/A,4400 Watt
